param PARAM1;
param PARAM2;


param FETOILE1;
param FETOILE2;


param FETOILE1m;
param FETOILE2m;


param number_appliances := 100;

set DEST := APP1	APP2	APP3	APP4	APP5	APP6	APP7	APP8	APP9	APP10	APP11	APP12	APP13	APP14	APP15	APP16	APP17	APP18	APP19	APP20	APP21	APP22	APP23	APP24	APP25	APP26	APP27	APP28	APP29	APP30	APP31	APP32	APP33	APP34	APP35	APP36	APP37	APP38	APP39	APP40	APP41	APP42	APP43	APP44	APP45	APP46	APP47	APP48	APP49	APP50	APP51	APP52	APP53	APP54	APP55	APP56	APP57	APP58	APP59	APP60	APP61	APP62	APP63	APP64	APP65	APP66	APP67	APP68	APP69	APP70	APP71	APP72	APP73	APP74	APP75	APP76	APP77	APP78	APP79	APP80	APP81	APP82	APP83	APP84	APP85	APP86	APP87	APP88	APP89	APP90	APP91	APP92	APP93	APP94	APP95	APP96	APP97	APP98	APP99	APP100;

param:   minimum_st  maximum_st  prefered_st processing power_processing :=
APP1	5	20	12	3	2.46
APP2	9	18	15	3	1.00
APP3	5	22	10	5	2.57
APP4	5	21	12	2	0.94
APP5	8	22	9	2	0.96
APP6	5	22	8	1	2.35
APP7	9	22	15	5	1.52
APP8	9	18	11	4	2.38
APP9	9	18	15	3	2.64
APP10	5	20	7	4	2.20
APP11	8	21	18	3	2.61
APP12	8	22	14	4	1.27
APP13	10	20	15	3	2.60
APP14	8	23	19	4	3.22
APP15	9	23	13	3	2.95
APP16	7	24	12	5	0.88
APP17	7	21	13	2	1.62
APP18	9	20	17	1	1.63
APP19	5	18	15	1	2.47
APP20	5	22	7	1	2.23
APP21	6	23	9	3	2.74
APP22	7	20	11	3	1.62
APP23	9	18	10	2	1.20
APP24	9	19	13	4	0.88
APP25	5	19	9	4	2.70
APP26	7	19	9	4	1.20
APP27	8	21	10	5	1.68
APP28	7	21	16	5	2.11
APP29	8	21	17	1	1.26
APP30	8	24	16	1	2.35
APP31	6	21	17	4	1.93
APP32	7	24	9	1	1.05
APP33	5	22	16	3	2.72
APP34	10	24	19	3	0.92
APP35	6	19	11	5	1.43
APP36	5	22	8	3	1.28
APP37	7	20	14	2	2.06
APP38	6	22	10	4	0.89
APP39	7	22	9	4	1.72
APP40	7	18	9	3	0.93
APP41	10	19	17	2	0.95
APP42	10	19	11	1	2.73
APP43	5	22	9	3	1.42
APP44	9	23	10	2	2.25
APP45	6	20	12	1	3.21
APP46	7	23	8	4	1.80
APP47	8	22	19	2	2.49
APP48	10	18	11	3	2.66
APP49	7	22	9	4	1.80
APP50	10	20	13	2	2.39
APP51	6	24	13	4	0.94
APP52	9	18	10	2	3.12
APP53	8	21	17	4	1.15
APP54	8	20	11	4	1.36
APP55	9	21	12	3	2.76
APP56	8	23	9	1	1.94
APP57	6	20	10	2	2.69
APP58	5	23	6	3	1.70
APP59	10	21	15	2	1.37
APP60	6	18	15	1	0.75
APP61	5	19	11	5	2.43
APP62	8	23	10	3	1.79
APP63	10	21	11	5	1.85
APP64	9	19	16	2	2.27
APP65	6	20	16	4	0.81
